Fiscal Year,Land Class,Land Category,State,County,FIPS Code,Offshore Region,Product,Volume
2003,Federal,Offshore,"","","",Alaska,Gas (mcf),11455233
2003,Federal,Offshore,"","","",Alaska,Oil (bbl),3626044
2003,Federal,Offshore,"","","",Gulf of America,Gas (mcf),4430880758
2003,Federal,Offshore,"","","",Gulf of America,Oil (bbl),555596999
2003,Federal,Offshore,"","","",Gulf of America,Salt,24551
2003,Federal,Offshore,"","","",Pacific,Gas (mcf),62738244
2003,Federal,Offshore,"","","",Pacific,Oil (bbl),30685447
2003,Federal,Onshore,Alabama,Baldwin,"01003","",Gas (mcf),91424
2003,Federal,Onshore,Alabama,Baldwin,"01003","",Oil (bbl),9
2003,Federal,Onshore,Alabama,Bibb,"01007","",Clay,58434
2003,Federal,Onshore,Alabama,Choctaw,"01023","",Oil (bbl),110
2003,Federal,Onshore,Alabama,Covington,"01039","",Oil (bbl),287413
2003,Federal,Onshore,Alabama,Escambia,"01053","",Gas (mcf),2388
2003,Federal,Onshore,Alabama,Escambia,"01053","",Oil (bbl),18003
2003,Federal,Onshore,Alabama,Fayette,"01057","",Gas (mcf),4772
2003,Federal,Onshore,Alabama,Lamar,"01075","",Gas (mcf),4380
2003,Federal,Onshore,Alabama,Lamar,"01075","",Oil (bbl),1883
2003,Federal,Onshore,Alabama,Mobile,"01097","",Gas (mcf),658
2003,Federal,Onshore,Alabama,Mobile,"01097","",Oil (bbl),6591
2003,Federal,Onshore,Alabama,Mobile Offshore,"01097","",Gas (mcf),40999493
2003,Federal,Onshore,Alabama,Mobile Offshore,"01097","",Oil (bbl),9
2003,Federal,Onshore,Alabama,Tuscaloosa,"01125","",Gas (mcf),636884
2003,Federal,Onshore,Alaska,Kenai (Post),"02122","",Gas (mcf),38996283
2003,Federal,Onshore,Alaska,Kenai (Post),"02122","",Oil (bbl),525460
2003,Federal,Onshore,Alaska,Tyonek,"02122","",Gas (mcf),13590614
2003,Federal,Onshore,Arkansas,Columbia,"05027","",Gas (mcf),9269
2003,Federal,Onshore,Arkansas,Columbia,"05027","",Oil (bbl),123
2003,Federal,Onshore,Arkansas,Crawford,"05033","",Gas (mcf),133032
2003,Federal,Onshore,Arkansas,Franklin,"05047","",Gas (mcf),344186
2003,Federal,Onshore,Arkansas,Johnson,"05071","",Gas (mcf),943990
2003,Federal,Onshore,Arkansas,Logan,"05083","",Gas (mcf),173479
2003,Federal,Onshore,Arkansas,Montgomery,"05097","",Quartz crystal,1928
2003,Federal,Onshore,Arkansas,Pope,"05115","",Gas (mcf),27214
2003,Federal,Onshore,Arkansas,Sebastian,"05131","",Gas (mcf),4705816
2003,Federal,Onshore,Arkansas,Sharp,"05135","",Gas (mcf),38889
2003,Federal,Onshore,Arkansas,Yell,"05149","",Gas (mcf),295912
2003,Federal,Onshore,California,Contra Costa,"06013","",Gas (mcf),1011
2003,Federal,Onshore,California,Fresno,"06019","",Gas (mcf),708106
2003,Federal,Onshore,California,Fresno,"06019","",Oil (bbl),45758
2003,Federal,Onshore,California,Glenn,"06021","",Gas (mcf),12704
2003,Federal,Onshore,California,Imperial,"06025","",Geothermal - electrical generation (kilowatt hours),375672000
2003,Federal,Onshore,California,Imperial,"06025","",Geothermal - electrical generation (other),210150
2003,Federal,Onshore,California,Inyo,"06027","",Geothermal - electrical generation (kilowatt hours),577935285
2003,Federal,Onshore,California,Kern,"06029","",Gas (mcf),1548611
2003,Federal,Onshore,California,Kern,"06029","",Oil (bbl),14497235
2003,Federal,Onshore,California,Kings,"06031","",Gas (mcf),158559
2003,Federal,Onshore,California,Kings,"06031","",Oil (bbl),31976
2003,Federal,Onshore,California,Lake,"06033","",Geothermal - electrical generation (thousands of pounds),23398882
2003,Federal,Onshore,California,Lassen,"06035","",Geothermal - direct use (millions of btus),275711
2003,Federal,Onshore,California,Los Angeles,"06037","",Gas (mcf),128593
2003,Federal,Onshore,California,Los Angeles,"06037","",Oil (bbl),716024
2003,Federal,Onshore,California,Mono,"06051","",Geothermal - electrical generation (kilowatt hours),105039825
2003,Federal,Onshore,California,Monterey,"06053","",Gas (mcf),1510
2003,Federal,Onshore,California,Monterey,"06053","",Oil (bbl),5235
2003,Federal,Onshore,California,Sacramento,"06067","",Gas (mcf),4687074
2003,Federal,Onshore,California,Sacramento,"06067","",Oil (bbl),3657
2003,Federal,Onshore,California,San Benito,"06069","",Gas (mcf),25
2003,Federal,Onshore,California,San Benito,"06069","",Oil (bbl),1567
2003,Federal,Onshore,California,San Bernardino,"06071","",Anhydrous sodium sulfate,169750
2003,Federal,Onshore,California,San Bernardino,"06071","",Borax-anhydrous,206
2003,Federal,Onshore,California,San Bernardino,"06071","",Borax-decahydrate,8791
2003,Federal,Onshore,California,San Bernardino,"06071","",Borax-pentahydrate,8001
2003,Federal,Onshore,California,San Bernardino,"06071","",Boric acid,18828
2003,Federal,Onshore,California,San Bernardino,"06071","",Salt,25357
2003,Federal,Onshore,California,San Bernardino,"06071","",Soda ash,813171
2003,Federal,Onshore,California,San Joaquin,"06077","",Gas (mcf),5115
2003,Federal,Onshore,California,San Luis Obispo,"06079","",Gas (mcf),4107
2003,Federal,Onshore,California,San Luis Obispo,"06079","",Oil (bbl),13971
2003,Federal,Onshore,California,Santa Barbara,"06083","",Gas (mcf),264625
2003,Federal,Onshore,California,Santa Barbara,"06083","",Oil (bbl),134955
2003,Federal,Onshore,California,Solano,"06095","",Gas (mcf),18378333
2003,Federal,Onshore,California,Solano,"06095","",Oil (bbl),15793
2003,Federal,Onshore,California,Sonoma,"06097","",Geothermal - electrical generation (thousands of pounds),28622239
2003,Federal,Onshore,California,Ventura,"06111","",Gas (mcf),809340
2003,Federal,Onshore,California,Ventura,"06111","",Oil (bbl),340280
2003,Federal,Onshore,Colorado,Arapahoe,"08005","",Gas (mcf),24
2003,Federal,Onshore,Colorado,Arapahoe,"08005","",Oil (bbl),24
2003,Federal,Onshore,Colorado,Archuleta,"08007","",Gas (mcf),3095609
2003,Federal,Onshore,Colorado,Baca,"08009","",Gas (mcf),98774
2003,Federal,Onshore,Colorado,Baca,"08009","",Oil (bbl),48993
2003,Federal,Onshore,Colorado,Bent,"08011","",Gas (mcf),54950
2003,Federal,Onshore,Colorado,Bent,"08011","",Oil (bbl),24
2003,Federal,Onshore,Colorado,Broomfield,"08014","",Gas (mcf),8
2003,Federal,Onshore,Colorado,Cheyenne,"08017","",Gas (mcf),281905
2003,Federal,Onshore,Colorado,Cheyenne,"08017","",Oil (bbl),39585
2003,Federal,Onshore,Colorado,Delta,"08029","",Coal,4793474
2003,Federal,Onshore,Colorado,Delta,"08029","",Gas (mcf),62744
2003,Federal,Onshore,Colorado,Delta,"08029","",Oil (bbl),40
2003,Federal,Onshore,Colorado,Dolores,"08033","",Gas (mcf),101106947
2003,Federal,Onshore,Colorado,Dolores,"08033","",Oil (bbl),39304
2003,Federal,Onshore,Colorado,Fremont,"08043","",Oil (bbl),45
2003,Federal,Onshore,Colorado,Garfield,"08045","",Coal,290958
2003,Federal,Onshore,Colorado,Garfield,"08045","",Gas (mcf),39952684
2003,Federal,Onshore,Colorado,Garfield,"08045","",Oil (bbl),116071
2003,Federal,Onshore,Colorado,Gunnison,"08051","",Coal,8140039
2003,Federal,Onshore,Colorado,Gunnison,"08051","",Gas (mcf),103088
2003,Federal,Onshore,Colorado,Gunnison,"08051","",Oil (bbl),310
2003,Federal,Onshore,Colorado,Huerfano,"08055","",Gas (mcf),14390664
2003,Federal,Onshore,Colorado,Jackson,"08057","",Gas (mcf),640832
